Unit,Part,Number,Question
UNIT-5,PART-A,9,State the principle of artificial heart?
UNIT-5,PART-A,10,Write short note on xenograft and rejected.
UNIT-5,PART-A,11,Highlight a few basic engineering concerns related to design of heart valves.
UNIT-5,PART-A,12,Write about cardiac pacemakers.
UNIT-5,PART-A,13,What is effective orifice area?
UNIT-5,PART-A,14,What is meant by effective orifice area?
UNIT-5,PART-A,15,When does a patient require an artificial heart?
UNIT-5,PART-A,16,What are the pathological aspects of patient who needs cardiac assist devices?
UNIT-5,PART-A,17,Differentiate internal and external pacemaker.
UNIT-5,PART-A,18,What is heart lung machine?
UNIT-5,PART-A,19,Write down the types of oxygenators.
UNIT-5,PART-A,20,Illustrate mechanical and chemical characteristics of natural versus artificial lung.
UNIT-5,PART-A,21,What are SA and AV node?
UNIT-5,PART-A,22,What are the uses of heart lung machine during surgery?
UNIT-5,PART-A,23,What is meant by pressure gradient?
UNIT-5,PART-A,24,What are the characteristics an ideal heart valve?
UNIT-5,PART-A,25,What are oxygenators?
UNIT-5,PART-B,1,Compare the salient features and drawbacks of mechanical versus tissue heart Valves.
UNIT-5,PART-B,2,What are oxygenators? Explain in detail the principle and functioning of any three types of oxygenators.
UNIT-5,PART-B,3,Highlight the important concepts to be considered in the design of artificial organs.
UNIT-5,PART-B,4,"What are the characteristics an ideal heart valve should possess? Explain the terms pressure gradient, effective orifice area and regurgitation."
UNIT-5,PART-B,5,Write about the different types of mechanical heart valves which are used to restore the normal cardiac functions? Explain briefly.
UNIT-5,PART-B,6,Explain the various engineering concerns to be followed in the design of prosthetic heart valves.
UNIT-5,PART-B,7,Discuss the history of development of artificial heart.
UNIT-5,PART-B,8,Describe in detail about Heart lung machine.
UNIT-5,PART-B,9,Explain the blood compatibility of synthetic vascular implant materials.
UNIT-5,PART-B,10,Describe in detail about cardiac pacemakers.
